"speciesCode","comNameCode","bandingCode","comName","sciNameCode","sciName","familyComName","familySciName","familyCode","order"
"xanhum","","XAHU","Xantus's Hummingbird","BAXA","Basilinna xantusii","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"virrai","","VIRA","Virginia Rail","RALI","Rallus limicola","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes"
"sora","","SORA","Sora","POCA","Porzana carolina","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes"
"comgal1","AMMO","COGA","Common Gallinule","GAGA","Gallinula galeata","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes"
"y00475","","AMCO","American Coot","FUAM","Fulica americana","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes"
"yelrai","","YERA","Yellow Rail","CONO","Coturnicops noveboracensis","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes"
"demcra1","DECR","","Demoiselle Crane","ANVI","Anthropoides virgo","Cranes","Gruidae","gruida1","Gruiformes"
"sancra","","SACR","Sandhill Crane","ANCA","Antigone canadensis","Cranes","Gruidae","gruida1","Gruiformes"
"comcra","COCR","CCRA","Common Crane","GRGR","Grus grus","Cranes","Gruidae","gruida1","Gruiformes"
"bknsti","BWST BNBS","BNST","Black-necked Stilt","HIME","Himantopus mexicanus","Stilts and Avocets","Recurvirostridae","recurv1","Charadriiformes"
"ameavo","","AMAV","American Avocet","REAM","Recurvirostra americana","Stilts and Avocets","Recurvirostridae","recurv1","Charadriiformes"
"blkoys","","BLOY","Black Oystercatcher","HABA","Haematopus bachmani","Oystercatchers","Haematopodidae","haemat1","Charadriiformes"
"bkbplo","GRPL","BBPL","Black-bellied Plover","PLSQ","Pluvialis squatarola","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
"amgplo","AGPL","AMGP","American Golden-Plover","PLDO","Pluvialis dominica","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
"pagplo","PGPL","PAGP","Pacific Golden-Plover","PLFU","Pluvialis fulva","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
"killde","","KILL","Killdeer","CHVO","Charadrius vociferus","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
"corplo","RIPL","CRPL","Common Ringed Plover","CHHI","Charadrius hiaticula","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
"semplo","","SEPL","Semipalmated Plover","CHSE","Charadrius semipalmatus","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
"pipplo","","PIPL","Piping Plover","CHME","Charadrius melodus","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
"lessap2","LSPL LSDO SISD LESA SISP SSPL SSDO","LSAP","Siberian Sand-Plover","ANMO","Anarhynchus mongolus","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
"snoplo5","","SNPL","Snowy Plover","ANNI","Anarhynchus nivosus","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
